movie_id,authority,rating









2066560,Egypt,All Ages





2064895,Egypt,+12

2064814,Egypt,+16
2061752,Egypt,+12

2060752,Egypt,+12
2060630,Egypt,All Ages



2059298,Egypt,+12
2058957,Egypt,All Ages
2058234,Egypt,All Ages


2055450,Egypt,All Ages



2049137,Egypt,+12

2067115,Egypt,+16

2066608,Egypt,+18


2065769,Egypt,All Ages



2064980,Egypt,All Ages
2064930,Egypt,+18

2064839,Egypt,All Ages



2061519,Egypt,All Ages

2061237,Egypt,+12


2060143,Egypt,+12
2059698,Egypt,+12

2059355,Egypt,+18

2058816,Egypt,+16
2058423,Egypt,All Ages
2058233,Egypt,+12
2058218,Egypt,All Ages
2056313,Egypt,+12

2053987,Egypt,+18
2053759,Egypt,+12
2053246,Egypt,+16
2052844,Egypt,+12
2052679,Egypt,+16




2007909,Egypt,All Ages

2041229,Egypt,+12













2059095,Egypt,All Ages

2058370,Egypt,All Ages
2057952,Egypt,+12
2057823,Egypt,+12





2056773,elCinema.com,Adult Supervision


2056281,Egypt,All Ages



2055503,Egypt,All Ages
2055129,Egypt,All Ages
2055115,Egypt,All Ages
2055064,Egypt,All Ages

2054468,elCinema.com,Adults Only (18+)
2054216,Egypt,All Ages
2054123,Egypt,+16
2054027,Egypt,+12
2052720,Egypt,All Ages
2052708,Egypt,+12
2052495,Egypt,All Ages
2052471,elCinema.com,Adults Only (18+)
2052323,Egypt,All Ages

2051732,elCinema.com,Adult Supervision
2051193,Egypt,All Ages
2051055,Egypt,+12
2050653,Egypt,+12
2050591,Egypt,All Ages
2050062,Egypt,All Ages
2050051,Egypt,+16
2049915,Egypt,+18
2049077,Egypt,All Ages
2048727,elCinema.com,Family (all ages)
2047740,Egypt,+16
2046552,Egypt,+16

2018733,Egypt,+12


2057080,Egypt,All Ages
2057077,Egypt,All Ages
2057069,Egypt,All Ages






2053666,Egypt,All Ages


2052991,Egypt,+12
2051923,Egypt,All Ages
2051898,Egypt,+12



2051546,Egypt,+12
2051400,Egypt,All Ages

2051096,Egypt,All Ages
2051037,Egypt,+12
2051036,Egypt,All Ages
2051035,Egypt,All Ages

2050756,MPAA,Unrated


2050421,Egypt,+12
2050323,Egypt,All Ages

2050036,Egypt,All Ages
2049932,Egypt,All Ages
2049762,Egypt,+12
2049624,Egypt,All Ages
2049532,Egypt,All Ages

2049108,Egypt,+16
2048780,Egypt,+18
2048650,elCinema.com,Adult Supervision
2048615,Egypt,All Ages
2048167,Egypt,+16

2048098,Egypt,+12
2047938,Egypt,+12
2047854,Egypt,All Ages
2047852,Egypt,+12
2047725,Egypt,All Ages
2047456,Egypt,+12

2045976,Egypt,+12
2044228,Egypt,+16
2044189,Egypt,+18
2044028,Egypt,+16
2033904,Egypt,+18
2022171,MPAA,R
2042201,Egypt,+12
2043126,Egypt,All Ages
2033904,Egypt,+18
2022171,MPAA,R
2043126,Egypt,All Ages

2033904,Egypt,+18
2043126,Egypt,All Ages








2048887,Egypt,+16
