id,name,description,duration,released?,release year,release date,revenue
2059336,El Feel El Azraq 3,,,No,2023,,
2059875,دماغ عالية,,,No,2022,,
2058736,Kira Wa El Gen,"The reality of Egyptian society during the period of the British occupation with the outbreak of the revolution of 1919, which unties the fate of Ahmed Abdel-Hayy Kira and Abdel-Qader El Gen who are joined together in their struggle against the English occupier.",,No,2022,2 May 2022,
2068611,Orfanelli's Hall,,,No,2021,,
2068366,For Rent,"As Mukhtar lives in a rented apartment, he finds himself experiencing bizarre incidents that happen in the apartment every day, when he sees the figure of a girl named Ibtisam who looks like Laila, the cousin of his neighbor.",85,No,2021,,
2067595,في عز الضهر,,,No,2021,,
2067574,The crime,,,No,2021,,
2067020,mama hamil,,,No,2021,,
2067013,السرب,,,No,2021,,
2066560,Waafet Reggala,"A comedy about a group of friends as they get reunited to help one of their own find his way out of major trouble. As the situation gets more complicated, they are forced to take a trip to a coastal town.",120,Yes,2021,13 January 2021,25513858
2065450,ريتسا,,,No,2021,,
2065401,Thaneya Wahda,,,No,2021,,
2065225,تحت تهديد السلاح,,,No,2021,,
2065010,أهل الكهف,,,No,2021,,
2065004,Today Is A Beautiful Day,,,No,2021,,
2064895,Amar 14,The plot revolves around 5 different love stories.,,No,2021,,
2064843,30 مارس,,,No,2021,,
2064814,Before Forty,"As Moataz suffers from a strong trauma following the death of his mother, his aunt Sama thinks that he is a psychopath. But with repeated mysterious deaths in the family, it turns out that Moataz has demonic abilities and a curse that destroys everyone around him.",93,Yes,2021,3 February 2021,2226040
2061752,Ahmed Noterdame,,,No,2021,,
2061350,El Ens w Al Nems,,,No,2021,,
2060752,SaherElnesaa,,120,No,2021,,
2060630,Shaw-ming,,90,Yes,2021,3 February 2021,747716
2060584,يوم 13,"A suspense horror thriller, filmed in 3D.",,No,2021,,
2060425,Mesh Ana,,,No,2021,,
2060069,Bab Maazoul,,30,No,2021,,
2059298,Ashbah Europa,"A wife gives birth to sextuplets, forcing the husband to sell three of their children due to poverty. When the wife finds out, she decides to leave her husband and travel abroad and many conflicts arise between siblings in the future.",,No,2021,,
2058957,Al-Baa’d La Yazhab L Al-Ma’zoun Maratayen,"A comedy that revolves around the experience of marriage, and if husbands can go back in time will they marry their wives again?",100,No,2021,13 May 2021,
2058234,Dido,"A comedy about Dido who plans with his friends to rob the rich scientist (Bayoumi Fouad), who discovers the matter and transforms them by one of his experiments into tom thumbs, which makes them encounter many exciting adventures.",96,No,2021,13 May 2021,
2058180,Elankabot,"An action thriller that revolves around a dangerous drug dealer, who is able to manufacture new drugs and sells them but falls into many problems and is chased by the police.",,No,2021,,
2055990,سقراط ونبيلة,,,No,2021,,
2055450,Aeaza Alwalad,,,Yes,2021,,
2055208,Mako,,,No,2021,,
2054540,Mousa,"An engineering college student invents the first of its kind robot in the Middle East, in an attempt to avenge his father's death and achieve justice, which gets him pursued by the authorities.",,No,2021,,
2052179,Taslim 'ahali,Events take place in a social comic framework.,,No,2021,,
2049137,Al-'Aref - Awdet Younis,"The film tackles cybercrime through the story of Younis, a man who lives with his wife and their baby girl, as he decides to rob a bank through the internet, but then finds himself chased by a dangerous gang.",110,No,2021,12 May 2021,
2046868,Top Secret,A dramatization of the turbulent political circumstances in Egypt between the 25th of January revolution in 2011 and the 30th of June revolution in 2013,,No,2021,,
2067115,Virus,"The story follows the young man Hamza who is in his senior year at the university, whose life is disrupted by a mysterious person. As he finds himself and his friends being haunted by a curse.",85,Yes,2020,25 November 2020,85372
2066792,I am afraid to forget your face,,15,Yes,2020,18 February 2021,
2066608,Bloodline,,92,Yes,2020,30 October 2020,
2066402,Luxor,"The British aid worker Hana tries to get over her dark past by visiting the ancient city of Luxor, where she meets her ex-lover Sultan, but she finds herself torn between a troubling past and an uncertain present.",85,Yes,2020,27 January 2020,
2065948,Amar,,,No,2020,,
2065769,El Khetta El Aayma,"A light comedy about a man who enlists the help of two people in order to steal important documents from a bank safe, which leads them to pick and train two clueless thieves to do the job.",90,Yes,2020,6 October 2020,12524305
2065488,عيد جواز,,,No,2020,,
2065277,3 in Trouble,"The story follows three talented musicians who travel to Cairo to pursue their dreams in the field of music, but they face unfortunate consequences when they discover that they're smuggling drugs without their knowledge.",,Yes,2020,16 July 2020,
2065192,Guild Paper,"Umm Abdullah is a woman of humble origin, who lives in a local neighborhood and fends for her family by running a hairdresser's.",90,Yes,2020,9 July 2020,
2064980,Afreet Transit,"The story follows a drug dealer who is exposed to many problems after he becomes accused of murder, which drives him to try to prove his innocence and repent.",90,Yes,2020,11 November 2020,2515154
2064930,Khan Tiuola,"The events take place in the 1940s  during WWII inside a hotel in El-Alamein city, which is owned by a man who lives there with his family. But things take a turn with the arrival of a new guest who finds himself witnessing bizarre incidents there.",100,Yes,2020,2 December 2020,1281548
2064893,صالون هدى,,,No,2020,,
2064839,Saber w Rady,"As the paralyzed businessman named Rady decides to hire a caretaker to look after him, Saber applies for the job, and they get into many comedic situations.",85,Yes,2020,30 December 2020,709490
2064695,Souad,,90,No,2020,,
2061726,saaet shetan,,,No,2020,,
2061637,Stockholm,,,Yes,2020,27 February 2020,
2061519,Al-Ghasala,"The fictional story of an advanced washing machine that's also a time-traveling machine. However, what it truly offers is conflicts and ironies that get imposed upon its users.",110,Yes,2020,30 July 2020,14407623
2061320,حفلة 9,,,No,2020,,
2061237,El-Hareth,"A couple's lives are upended after a fable is told to them during their honeymoon, about a moonless night where the devil searches for a bride.",97,Yes,2020,13 August 2020,
2061204,A Nose And Three Eyes,,,No,2020,,
2060692,Barcode 615,,,No,2020,,
2060143,Banat Sanawy,The story follows five teenage girls as they try to discover themselves but they face a lot of trouble and difficulties during high school.,99,Yes,2020,6 January 2020,7904611
2059698,El Hoot El Azraq,"The film revolves around the ""Blue Whale Challenge"" game used by many young people and adolescents, after the spread of technology and the parents are too busy to look after their children which might lead to their exposure to great risks.",83,Yes,2020,26 August 2020,114130
2059465,سيدي بشر,,,No,2020,,
2059355,Sundooq Al Dunya,The film follows the touching stories of various people struggling to survive in Downtown Cairo as they try to find balance in their lives and deal with its ups and downs.,90,Yes,2020,19 February 2020,1050979
2059281,Sherit 6,"The events revolve around a psychiatrist who tries to solve youth issues, and through the crises they are exposed to in their daily lives, he finds that it is not an easy job.",,No,2020,,
2058816,Rima,The movie revolves around a young girl who has the ability to foresee events before they happen. Will this special ability that she possesses become a curse or a blessing for those around her?,90,Yes,2020,23 December 2020,2279088
2058423,The Knight and The Princess,"The story of the Arab knight Muhammad Bin Qasim Al-Thaqafi who rescued many women and children from pirates in the Indian Ocean. He entered a fierce war against King Dahr who was sharing the spoils with the pirates, with the help of his friend Ziad and his mentor Abu Al-Asud.",95,Yes,2020,29 January 2020,143385
2058233,Saheb El-Maqam,"When the young businessman Yehia goes through a crisis, he finds that his only hope is a mysterious holy woman named Rouh who starts to help him.",111,Yes,2020,30 July 2020,
2058218,King Size,,,No,2020,,
2056313,Hazr Tagaoul,"In the fall of 2013 after a curfew was imposed in Egypt, Faten is released after spending 20 years in prison for a horrific crime. She's forced to spend the night with her daughter Laila, who subjects her to a second trial in search of answers for unanswered questions.",96,Yes,2020,4 December 2020,394522
2054954,Fragile,,,Yes,2020,4 March 2021,
2053987,Ra’s El Sana,"The events of the film takes place on new year's eve of 2019 in the Red Sea at a resort near the city of Hurgahda,inside the world of the wealthy where difficult situations and crises happen when they get together.",100,Yes,2020,5 February 2020,3038141
2053759,Zenzana 7,"As Harby serves his sentence in prison, the friendship he forms with Mansour survives their incarceration and release. As they manage to make a name for themselves in the crime world, one of their rivals drivers a wedge between them, leaving the two to clash.",115,Yes,2020,16 September 2020,8638538
2053246,Yom W Leila,"The story revolves around a policeman who's investigating some social issues, especially those related to the crises of the poor inside the Mawlid of Al-Sayeda Zainab and the problems they face.",99,Yes,2020,6 January 2020,2824834
2052844,Lees Baghdad,"In an atmosphere of suspense and excitement, Yousef, Khaled, and Nadia embark on a journey to locate the tomb of Alexander the Great, which has been sought by everyone for years.",102,Yes,2020,22 January 2020,33224245
2052679,Demagh Shetan,"A suspense drama about a family that has a tragic accident, which makes the family members get into a major conflict because of their involvement in a crime.",82,Yes,2020,22 January 2020,86479
2050042,High Fences,"A depiction of the different social paths and classes within the Egyptian society, shedding light on the intertwined lives and fates of people of different classes, while highlighting issues like the drug trade and its calamitous impact on people and society.",97,Yes,2020,20 November 2020,
2049699,The Secret History Of Kawthar,,,No,2020,,
2047941,صعيدي في الجامعة الأمريكية 2,,,No,2020,,
2040428,Baraet Raya We Sakina,,,No,2020,,
2007909,Taw’am Rouhy,A romantic film presenting a love story that is both sweet and bitter. Can love be found amidst clashes and troubles?,103,Yes,2020,19 August 2020,13801843
2039433,Devil Hymns,,,No,2020,,
2041229,El Sandok El Aswad,"Two strangers break into Yasmine’s house determined to locate and steal an important object. She fights back and tries to escape, will she be successful?",90,Yes,2020,28 October 2020,8824373
2064877,The Hook-up,,19,Yes,2019,,
2064408,Afandina,,76,Yes,2019,,
2060329,The Profession,,,Yes,2019,,
2060240,The Trap,,20,Yes,2019,,
2060227,Sea of Dunes,,4,Yes,2019,6 April 2019,
2060188,Amin,"The Ministry of Culture announces the discovery of a rare version of an incomplete film by legendry director Shadi Abdel Salam. Amin seeks to obtain the copy before it falls into the hands of a notorious director.

Ahmed Abuelfadl takes us in a strange journey, in which the truth blends with the protagonist’s imagination, and mixes what seems to be an aborted love story with something else. All of this takes place in one night.",16,Yes,2019,,
2060176,Let’s Talk,"What begins as a normal conversation between the director and her daughter, quickly develops into a discussion that touches values ​​like motherhood , generational communication and what it means to be a member of a family, especially when that family has given birth to the most famous Egyptian film director, Youssef Chahine.",98,Yes,2019,23 November 2019,
2059822,Sunday at Five,"The 30-year-old Hadil decides to take a risk and go to audition for Khairy Beshara, hoping to land a role in his new film, only to find herself at a crossroads as she goes through the audition.",20,Yes,2019,15 March 2020,
2059808,Habib,"Habib is a barber in his late sixties who works in his own home barbershop. One day he decides to break his daily routine and go through an adventure to delight his wife. Habib seems to be in psychological pain and suffering so much, however, he insists on living his life in full.",23,Yes,2019,29 October 2019,
2059750,Enta Eih,"A comedy drama about an alien who comes to earth and asks people many questions in an innocent way, during that journey he makes friends with good people and enemies with bad ones.",80,Yes,2019,16 October 2019,162488
2059288,Lailet Hob,,,No,2019,,
2059248,Beyond the Raging Sea,,70,Yes,2019,21 September 2019,
2059124,You Will Die at 20,"In a small Sudanese village, Sakina takes her newborn Muzamil to a holy man to bless him, but the joyful occasion turns into a funeral when the man predicts that the boy will die at twenty. Muzamil is forced to deal with people's pity his whole life. Can he escape such a tragic end?",103,Yes,2019,4 March 2020,
2059095,Be3elm El Wosol,"Hala has just become a mother, she suffers from depression after the imprisonment of her husband who she's trying to get him out, and her fear of abandonment since her father died, until she finds a message that gives her a new perspective on life.",98,Yes,2019,26 February 2020,85604
2058967,Pasta,,5,Yes,2019,,
2058370,El Tayeb We Elshares We Elaoob,Three retired actors abruptly decide that they want to go back to acting and work together to make a movie about aliens. Will it earn them any recognition?,99,Yes,2019,2 October 2019,989251
2057952,Four Wheel Drive,"A father who had big dreams for his three children, returns after many years, only to find them living a different life from what he had envisioned. As the three brothers get involved in a terrorist operation, they try to stop it with the help of a group of girls.",95,Yes,2019,1 January 2020,140055
2057823,Anta Habiby We Bas,"A comedy about famous artist Zico, who's forced to marry (Bossy), as their grandfather stipulated in his will that they have to get married to have an inheritance of five million pounds , and as events develop their relation turns into true love.",81,Yes,2019,10 August 2019,3729735
2057459,Ramses Rah Fen,"A documentary that follows the transfer of the statue of Ramses II from Ramses Square to the Grand Egyptian Museum, shedding light on the history of various presidents and kings, including their various degrees of success in taking on a paternal role and fulfilling their duties to the people.",,Yes,2019,17 October 2020,
2057363,The Name Caller,,60,No,2019,,
2057246,Sawah,"An Egyptian DJ who wins an invitation to take part in a big concert in Brussels, finds himself in Luxembourg instead. He gets into big trouble when he loses his passport and everyone thinks he is an illegal refugee.",100,Yes,2019,15 March 2019,
2057214,Alfunduq alghamid,,,No,2019,,
2057211,Sound,,75,No,2019,,
2056773,Khayaal Ma'atah,"The story revolves around a grandfather who stole a rare masterpiece belonging to the late singer (Umm Kulthum) in his youth. Years later, he finds himself chased by those who want to have this piece, which makes him resort to the help of his only grandson.",126,Yes,2019,12 August 2019,38440061
2056692,7th Century Before Birth,,55,Yes,2019,6 March 2019,2310
2056323,Complex,,30,No,2019,,
2056281,Qahwat Bursat Misr,"In this modern real-life drama, the intertwined lives of a group of regulars in a popular downtown café highlight the inner conflicts of their different personalities, and how they reflect the changes in the traditions and values of the Egyptian society.",90,Yes,2019,26 June 2019,197535
2056267,Khassesny shokran,,94,Yes,2019,,
2055932,Ahlaa men Eltalaq,,,No,2019,,
